ID,Lat,Lon,CC,PRB,RMSE,MBR,NSE,KGE
169803,41.0333,-81.0167,0.9536962701254568,9.90451945539857,0.7975382176612872,1.0,0.875194265794389,0.7439279099915682
169357,41.4619,-84.5272,0.9389649455901545,-37.676431930952745,1.0903674373834602,0.6232356806904725,0.7820760352995578,0.466181578804009
168539,41.4667,-81.1667,0.9370639475755432,-49.5522339991795,1.0281690299920634,0.5044776600082048,0.7959327444583522,0.39852985185363754
168440,40.0167,-81.5833,0.934105290318876,-11.477469476899156,0.8086904109542784,0.8852253052310088,0.8303820734323075,0.6994576363239189
168067,40.7667,-81.3833,0.8732555657626385,24.544761399165953,0.9937413808030464,1.0,0.7211507504191457,0.5747819573354783
167932,40.3,-82.65,0.944558023790223,32.042204324841,0.9249764243714266,1.0,0.8236163145540553,0.5498569220708527
167738,40.74,-82.3569,0.9250919392872268,-16.59353735744795,0.8328074375009408,0.8340646264255207,0.8180121124138845,0.6777578504267612
166978,39.3744,-83.0036,0.9636343023466232,422.4574562526319,0.8150225176339498,1.0,0.8662786817386351,-3.2340127593753465
166664,38.7983,-84.1731,0.9285610638969031,-90.27296795828428,1.1079359594886131,0.09727032041715712,0.7714790910157507,0.03144766400640331
166660,41.0517,-81.9361,0.9319188980280158,-40.83708476279497,1.13088011115691,0.59162915237205,0.7558957324803017,0.4257166487425331
166582,39.1,-84.5167,0.9508004478924462,5.426623978507397,0.8430850079951746,1.0,0.8526039246936636,0.7145102263669247
166394,39.6106,-82.9547,0.940652603769108,-80.94680396243169,1.0386254839221494,0.19053196037568323,0.7705143645640044,0.11235716529839601
166324,41.405,-81.8528,0.9157371412807932,354.0633772349343,1.1570872970685804,1.0,0.7435398109117393,-2.561600335029297
166305,40.8833,-80.6833,0.9180190627529486,-36.52337050459516,1.1240418881951555,0.6347662949540485,0.7518888128931662,0.46939419564696805
166244,39.9914,-82.8808,0.9278468935844454,-28.002973591140996,0.8299678654642442,0.71997026408859,0.8154900784445832,0.6081129426297395
165620,41.9833,-80.5667,0.9088335353881519,-13.785986060954302,1.0173743299088465,0.862140139390457,0.7528817622171767,0.6069266243117387
165266,39.9061,-84.2186,0.951724745288854,55.6928527149152,0.8345438525961547,1.0,0.8608816786772688,0.38684313871712805
165078,39.6253,-83.2128,0.9700504495502701,12.61751248340198,0.8262686749485901,1.0,0.8910904347001541,0.7154480415677396
164816,41.2833,-84.3833,0.9420853141362968,-17.112081817076856,0.774254453806153,0.8288791818292316,0.8446653932471996,0.6845006898233361
164700,40.0,-82.0833,0.895671234213072,2.4419805163580772,1.151444952354367,1.0,0.7190833588193999,0.5930657827283816
