ID,Lat,Lon,CC,PRB,RMSE,MBR,NSE,KGE
169803,41.0333,-81.0167,0.9652763717943807,21.722761629878736,0.7579802770573215,1.0,0.8896482026675121,0.6746446950494067
169357,41.4619,-84.5272,0.950280103361812,-46.10447789160161,1.0294909496163132,0.5389552210839841,0.799927751077072,0.41053396821955856
168539,41.4667,-81.1667,0.9558252786512097,-53.55191529020987,0.9485668815964432,0.4644808470979013,0.8221219367582,0.37093614125889696
168440,40.0167,-81.5833,0.9272950622289939,-18.573335773295735,0.8778933287448856,0.8142666422670428,0.8109793153695217,0.6480604502934084
168067,40.7667,-81.3833,0.8795496938428071,17.518159313017946,1.0130236057080544,1.0,0.7240499926175687,0.5993370592335646
167932,40.3,-82.65,0.9577800989275301,58.05890813544251,0.9516426010931616,1.0,0.8254616241794837,0.3288285054499491
167738,40.74,-82.3569,0.9375008554748538,-15.711994722195916,0.7909004264803992,0.8428800527780408,0.8361421592882567,0.6843811619355238
166978,39.3744,-83.0036,0.9651923467503284,-314.4735994028163,0.8900645187908152,0.0,0.8506438801988205,-2.159531432591857
166664,38.7983,-84.1731,0.9510149235613138,-89.57266164069677,0.9711068652560416,0.10427338359303254,0.8137167823584064,0.0462623320109421
166660,41.0517,-81.9361,0.9338686412379263,-43.51262935546396,1.152032508133792,0.5648737064453606,0.7526489174219618,0.40180342683517234
166582,39.1,-84.5167,0.9553345532819963,479.62550815928154,0.8759225816681797,1.0,0.8484663010100125,-3.805426093106571
166394,39.6106,-82.9547,0.9527457101405733,-81.9626503159785,1.0090701915174443,0.18037349684021498,0.7828988954918681,0.10409288219392798
166324,41.405,-81.8528,0.947158238945009,151.62293824618712,0.9505994065148011,1.0,0.807144955963613,-0.5552088742381585
166305,40.8833,-80.6833,0.9387374693522974,-45.62671032369666,1.023032354225931,0.5437328967630332,0.7828941548085213,0.41637625314512616
166244,39.9914,-82.8808,0.9336689376218024,-34.51240577697459,0.8408017135501775,0.6548759422302541,0.8143788464565943,0.5557311868335113
165620,41.9833,-80.5667,0.9257276416704829,-15.677284541078873,0.9438685764605939,0.8432271545892114,0.7797980064433684,0.613493249964422
165266,39.9061,-84.2186,0.962021255509525,7.507886975641336,0.7507104462993548,1.0,0.8841247438629585,0.7447164102986229
165078,39.6253,-83.2128,0.9811065027700564,163.31379703622176,0.7528159747550159,1.0,0.9086088611882143,-0.6521537603334859
164816,41.2833,-84.3833,0.9388128279001937,-1.7722771806456639,0.8264095249972154,0.9822772281935434,0.8332797837555528,0.7124170955212277
164700,40.0,-82.0833,0.9079863226779012,10.838129170423596,1.1037458447630424,1.0,0.7367067546452984,0.5881590145432589
