ID,Lat,Lon,AverageAnom,scaledAvg
2,35.2063,-101.8358,-0.5186170955454545,-51.861709554545456
11,33.9353,-117.8828,-0.6782522424090909,-67.8252242409091
34,34.3894,-118.0803,-0.539887448909091,-53.9887448909091
35,34.1683,-118.4697,-0.3650414145454545,-36.504141454545454
62,34.2689,-118.3997,-0.10914795995454547,-10.914795995454547
102,33.7969,-118.1675,-0.2761138130454546,-27.611381304545464
128,34.0447,-117.8386,-0.2354372036363636,-23.54372036363636
151,34.2053,-117.8606,-0.5466624351363636,-54.66624351363636
155,34.2056,-117.7611,-0.6404485135454544,-64.04485135454544
157,34.075,-118.0417,-0.46597277522727276,-46.597277522727275
178,34.3789,-117.6889,-0.6558275243636363,-65.58275243636363
216,34.3763,-84.0599,-0.6699849448636365,-66.99849448636364
222,42.0792,-71.4648,-0.6888289876363637,-68.88289876363636
224,26.1734,-80.1784,-0.4905881742727272,-49.05881742727272
233,38.198,-120.367,-0.6114297668636364,-61.14297668636364
243,38.433,-122.25,-0.6058823158636363,-60.58823158636363
5170,39.35,-123.31700000000001,-0.5781906493181819,-57.81906493181819
5180,39.867,-123.71700000000001,-0.5027766386818181,-50.27766386818181
5215,40.117,-121.05,-0.3545154921363636,-35.451549213636355
5445,39.916,-120.64,-0.15910919109090907,-15.910919109090907
5475,39.8997,-120.18299999999999,-0.33010732395454545,-33.010732395454546
5490,31.4706,-96.8833,-0.42753724513636365,-42.753724513636364
5535,34.345,-119.0767,-0.39814179650000003,-39.81417965
5670,34.3314,-119.0087,-0.2783217627272727,-27.83217627272727
5730,34.3908,-119.145,-0.38279115731818175,-38.27911573181817
5745,34.4792,-118.8823,-0.2829151536363637,-28.29151536363637
5760,34.7326,-119.1032,-0.6158091497272727,-61.58091497272727
5775,34.2856,-119.155,-0.30613885377272726,-30.613885377272727
5805,34.6825,-119.3532,-0.6161525474090909,-61.61525474090909
6610,34.4281,-119.0903,-0.30665891045454524,-30.665891045454526
6670,34.5133,-118.7576,-0.24891345740909088,-24.891345740909088
6730,34.3935,-118.884,-0.09769559140909077,-9.769559140909077
6880,34.2016,-119.20700000000001,-0.21883582372727284,-21.883582372727282
6960,34.5605,-119.1503,-0.6216651648636362,-62.16651648636362
10008,34.4838,-119.3057,-0.16784991777272726,-16.784991777272726
10063,32.6833,-117.0,-0.27356455322727263,-27.356455322727264
10252,32.7136,-117.17,-0.21450080977272726,-21.450080977272727
10402,32.9494,-117.0628,-0.25945309154545454,-25.945309154545455
10748,32.6092,-116.9272,-0.13814009345454545,-13.814009345454545
10831,33.3833,-116.7833,-0.060011506227272665,-6.001150622727266
10957,32.8658,-116.4164,-0.4185956221818182,-41.85956221818182
11819,33.2386,-116.7617,-0.20880530522727273,-20.880530522727273
12119,33.1167,-117.0833,-0.21614142236363643,-21.61414223636364
12172,32.8822,-116.8069,-0.39758136563636354,-39.758136563636356
12377,33.2214,-116.3347,-0.19061678550000002,-19.061678550000003
12675,30.4331,-84.2608,-0.4075109465,-40.751094650000006
13043,30.4586,-84.3211,-0.3332978200909091,-33.329782009090906
13519,30.5272,-84.1917,-0.3738543188181818,-37.385431881818185
13578,30.4844,-84.1956,-0.2535863676363636,-25.358636763636362
13620,30.4833,-84.2992,-0.10467394059090912,-10.467394059090912
13655,30.5053,-84.3308,-0.38263021199999997,-38.2630212
14193,28.4361,-81.3714,-0.41641111118181817,-41.64111111818182
14209,27.9717,-81.4175,0.01363839886363638,1.363839886363638
15112,26.9072,-80.1917,-0.057520029818181696,-5.75200298181817
15397,25.3306,-80.525,-0.21051625095454546,-21.051625095454547
15478,26.9792,-81.09,-0.26709230500000003,-26.709230500000004
15550,26.6244,-80.9483,-0.45081261763636377,-45.08126176363638
15625,26.7744,-80.6175,-0.41703591490909103,-41.703591490909105
15635,27.8031,-81.1981,-0.41703591490909103,-41.703591490909105
16226,28.0017,-81.1936,-0.3389013729545455,-33.89013729545455
16370,26.6844,-80.3675,-0.25360695759090907,-25.360695759090905
18178,28.0994,-81.5286,-0.2766636390909092,-27.66636390909092
18209,33.7069,-117.09,-0.32195569840909094,-32.195569840909094
18259,27.4386,-81.2064,-0.3302611881363636,-33.026118813636366
18385,26.7003,-80.7161,-0.051272233045454536,-5.127223304545454
18670,33.9897,-116.6556,-0.15699288590909083,-15.699288590909083
18673,27.4725,-81.1439,-0.1127595028636364,-11.27595028636364
20080,33.8369,-116.6125,-0.6530512805454545,-65.30512805454545
20100,33.82,-116.3928,-0.619273429409091,-61.9273429409091
20487,27.7528,-81.0772,-0.21645449822727272,-21.645449822727272
20808,33.4967,-117.1492,-0.9988129043181818,-99.88129043181819
20966,33.8319,-116.5578,-0.6831294044545454,-68.31294044545454
21314,33.7153,-117.1903,-0.7366025581363637,-73.66025581363637
21870,25.3669,-80.3764,-0.3876475950000001,-38.76475950000001
22659,25.47,-80.3464,-0.3991240411363636,-39.91240411363636
22754,34.0028,-117.3778,-0.5366074328181817,-53.66074328181817
23010,33.5856,-116.4472,-0.4892751747272727,-48.927517472727274
24586,33.9878,-117.2689,-0.4294808849999999,-42.94808849999999
25325,33.8644,-117.1958,-0.49199125654545456,-49.199125654545455
25924,26.4989,-80.2222,-0.6610208598181818,-66.10208598181818
26119,27.5914,-81.4353,-0.28049890090909096,-28.049890090909095
