ID,Lat,Lon,CC,PRB,RMSE,MBR,NSE,KGE
269234,40.4344,-95.3883,0.9473421157097552,41.28913136193307,0.9060098607005397,1.0,0.8434626090014944,0.4971449930869184
269171,40.0825,-93.6086,0.9641535497035346,83.91861723758734,0.8413484219019381,1.0,0.8774546318764471,0.1230971110229927
268988,37.2333,-91.8833,0.946157849500426,273.5229236006671,1.1188015586247892,1.0,0.7802130272856561,-1.7556685153776295
268977,38.9483,-94.3969,0.9338609944164353,-124.82617019338073,1.0173796421517036,0.0,0.7760836521494664,-0.2982204104919415
268838,37.7119,-91.1328,0.964834644180971,13.501765616173367,0.7696143479273061,1.0,0.8952325961335498,0.7364589846411654
268822,38.2017,-91.9811,0.9612241979358679,37.01938229203521,0.9406226880040865,1.0,0.8380115801090455,0.5030001117329755
268170,36.9231,-90.2836,0.9363517763814313,-31.740347065404595,0.9481414832628997,0.6825965293459537,0.7688475090921896,0.5218582819845141
267908,38.5425,-90.9719,0.9174352403210371,-10.151418136316744,1.1042934980377688,0.8984858186368322,0.7726560172335931,0.6314715964764288
267640,36.8581,-92.5875,0.9773917046503703,6.47258417473735,0.6458637351381421,1.0,0.9154315744639014,0.7678918724441662
267620,38.8128,-90.8561,0.9522552977119572,-46.69543113335803,0.894494722691628,0.5330456886664198,0.842420845867236,0.45112476224790554
267612,36.7425,-91.8347,0.9512824993221777,183.8333913076135,0.8310494258683413,1.0,0.8552191103728757,-0.8579323455120988
267397,42.5522,-99.8556,0.9394326099526914,38.71100543574058,0.9802117260715674,1.0,0.7994556533233704,0.4808531669131847
267369,42.2342,-98.9156,0.9575355340997395,-39.67271696458204,0.8890131856898785,0.6032728303541793,0.8454597561828694,0.4986094273054672
266630,41.5975,-99.8258,0.9340279438381873,-41.01265883363385,1.03097938765275,0.5898734116636617,0.7735026686093278,0.4411838705599994
265880,42.0686,-102.5844,0.9505791280559011,56.81993305123411,0.9260986567118983,1.0,0.8300412463577476,0.352258102908404
265869,41.2481,-98.7989,0.9690184416717993,-22.74270398127161,0.7484179565284688,0.7725729601872839,0.8961686237344642,0.6716382356402716
265441,42.58,-99.54,0.9631872856811077,-28.88875702958397,0.9244859929172982,0.7111124297041604,0.8437572952928829,0.5714460943450721
265362,40.2994,-96.75,0.9458451094982563,3.9485866179721643,0.9431327634621434,1.0,0.8190536581513268,0.6644679264441962
265191,41.3686,-96.095,0.9835885057958882,64.545100041307,0.5941737116978106,1.0,0.9351868616734527,0.32961495187751944
264651,41.0469,-102.1467,0.9402099824467857,-43.66669263008553,1.1109839618498218,0.5633330736991445,0.7636339990617871,0.40395667105906363
