ID,Lat,Lon,CC_MRAI,PRB_MRAI,RMSE_MRAI,MBR_MRAI,NSE_MRAI,KGE_MRAI,CC_SRAI,PRB_SRAI,RMSE_SRAI,MBR_SRAI,NSE_SRAI,KGE_SRAI
269234,40.4344,-95.3883,0.9560002582755902,0.38483204074738303,0.8724108238980611,1.0,0.8553922680915611,0.5200090431308713,0.13071702525242895,-10.61218472580597,3.41441568924347,0.0,-1.2150432516062661,-9.651961261031552
269171,40.0825,-93.6086,0.9729198891740364,0.8876506314272727,0.7916070327076634,1.0,0.8910000526326103,0.07739242341777286,0.9389087606673004,2.1879496361965844,0.9970568688948528,1.0,0.8270793497249803,-1.1901482625551671
268988,37.2333,-91.8833,0.9482852466895868,2.2716155675644116,1.1162454112568976,1.0,0.7845663873036667,-1.296882957694299,0.9430568811680662,2.5971187230905577,0.9485431489134868,1.0,0.8444362962954024,-1.59797021952205
268977,38.9483,-94.3969,0.9329271677399011,-1.3110852805074993,1.0358293868906416,0.0,0.7743954191206732,-0.36117556240279236,0.13801044931488224,10.019709175779017,2.9476100782834513,1.0,-0.8268863181877286,-9.063546514808563
268838,37.7119,-91.1328,0.9770794009673578,0.23625765779802088,0.6878735861545702,1.0,0.9154821434757194,0.6765164889174908,0.9439887209231688,2.017821008245143,0.9652943883204448,1.0,0.8335626582568487,-1.0211050996141702
268822,38.2017,-91.9811,0.9649329340828138,0.1884779801766092,0.9454755490193661,1.0,0.8397732748640928,0.6127929422812242,0.9322222764574941,1.8465895549250253,1.0276712322336192,1.0,0.8107034272431481,-0.8480526766367837
268170,36.9231,-90.2836,0.9380185936744305,-0.3330804688981937,0.9430220244251316,0.6669195311018065,0.76888498007691,0.5140157188721852,0.8696746253854584,-0.8550094787664307,1.376372588246143,0.14499052123356915,0.5076697414148952,0.05890258898362388
267908,38.5425,-90.9719,0.9375585480394681,-0.025567552017188765,0.97881609561075,0.9744324479828111,0.8103143123865523,0.6685530706938663,0.9285907156564785,1.3927387026641016,1.0736705389676051,1.0,0.7717691059258875,-0.39637963638684637
267640,36.8581,-92.5875,0.9705535166800695,-0.0559375886577313,0.7593755920469035,0.9440624113422689,0.8921065944539467,0.7398488202042839,0.9234729167503178,1.0502958578823973,1.1185255719848617,1.0,0.7659150629070185,-0.05587575879049722
267620,38.8128,-90.8561,0.9568788909257818,-0.4725695357890768,0.8811821378050616,0.527430464210923,0.8478353926559123,0.445803027728485,0.9343267724884518,1.4084892111908536,1.11846584989155,1.0,0.754852349059882,-0.41668854903762775
267612,36.7425,-91.8347,0.959575537595065,1.1777752783648825,0.7711428688808623,1.0,0.8722597275334707,-0.20588472461509255,0.3820790102977058,-22.01541681755264,2.9210350174490998,0.0,-0.8328700352940883,-21.024645499370497
267397,42.5522,-99.8556,0.9448262601493874,0.23078028419826402,0.9357486461248921,1.0,0.8131839327262718,0.5908611547249785,0.911391712609133,1.6799787120349827,1.1829185066553853,1.0,0.7014579826371916,-0.6826450894133353
267369,42.2342,-98.9156,0.9602165549531919,-0.4282930934847097,0.8884920233728457,0.5717069065152908,0.846837769654706,0.47192375249042384,0.09329302274480274,-7.397307324260837,3.5626352716101666,0.0,-1.4625629557868294,-6.464245421025213
266630,41.5975,-99.8258,0.9369117046584833,-0.3686203464041506,1.0253949711696853,0.6313796535958495,0.7772349640910967,0.4699732808815199,-0.050092394194685044,-8.049938422927838,3.6518936221861833,0.0,-1.825536340165717,-7.1273691411525935
265880,42.0686,-102.5844,0.9581210809321081,0.73493870010969,0.8842668692913217,1.0,0.841621880845192,0.20530258410314484,0.20045328155028566,-6.0047002515906,3.0884456667395606,0.0,-0.9320057057970788,-5.06286578365119
265869,41.2481,-98.7989,0.9708727392207395,-0.2559092463973179,0.7300801821733857,0.7440907536026817,0.9001555218261938,0.6541557817186621,0.900350006887377,1.8698611841081145,1.3182165575718865,1.0,0.674495904979877,-0.8754590525301778
265441,42.58,-99.54,0.9673680066333027,-0.3067469800303108,0.8982180218774395,0.6932530199696891,0.8505860014983311,0.5627095638775967,0.4329872286848684,-2.9926530107819125,2.9694518356306308,0.0,-0.6329779856193594,-2.071567599348743
265362,40.2994,-96.75,0.9550668076254303,-0.057991577261154975,0.8801451784489996,0.942008422738845,0.8372465999495999,0.6737934951303276,0.0005055919497374464,-3.5826236079537255,3.8285329077432517,0.0,-2.0795425596134627,-2.7328121511423458
265191,41.3686,-96.095,0.983780200759023,0.4612849078745997,0.5949126784442799,1.0,0.9358008821087267,0.5026266568063006,0.9585808831538079,0.7212110098926573,0.7523452418582925,1.0,0.8973268304062721,0.2738964382352419
264651,41.0469,-102.1467,0.9434795233121246,-0.30658566746691013,1.1114244879855175,0.6934143325330904,0.7669829155805732,0.4883071931326378,0.12139565980702796,-7.810883779783194,3.2199286862168957,0.0,-0.9557815625187227,-6.872634338319582
